História,contador,ID,Prioridade,Pré-Condição,Cenário,BDD (Gherkin),Status final,Fluxo para Regressão?,Funcionalidade Principal,Funcionalidade secundária,Data de criação,Data de atualização,Status CT,Status da execução WEB,Dispositivo Mobile,Status da execução Mobile,Execução feita via API?,Versão regressão,Ciclo da execução,Automatizado?,Versão_Compilada,Execução Finalizada?,FALSE,Limpar dados da execução,FALSE,Data da automatização
TSF-812,12,TSF-812 | CT~12,Média,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce no objeto empresa
","05Concluir a criação de uma Conta Estrangeira do tipo ""Grupo economico""","Given usuário inicie a criação de empresa
And usuário preencher as informações do cadastro da Conta
When finalizar o processo de criação de conta Nacional do tipo Grupo Econômico
Then o sistema retorna mensagem de sucesso
And redireciona o usuário para a Conta recém criada",🛎️ Item com pendência de execução,,03 - Empresa,Hierarquia,02/10/2025,,Ativo,NO RUN,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-148,13,TSF-148 | CT~13,Alta,"Usuário com as seguintes condições:
1 - Possuir empresa criada
2 - Usuário logado dentro de uma empresa
3 - A empresa deve ter o subtipo vazio
",07Criar Conta BPO,"Given que usuário acesse os detalhes de uma Conta
And usuário editar o registro
When usuário alterar o subtipo para BPO 
And salvar a edição
Then o sistema realiza a alteração
And  dentro do campo BPO, ao procurar pela empresa o sistema retornará ela como uma das opções",🛎️ Item com pendência de execução,,03 - Empresa,Hierarquia,21/10/2025,,Ativo,NO RUN,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,21/10/2025
TSF-148,14,TSF-148 | CT~14,Alta,"Usuário com as seguintes condições:
1 - Possuir 2 empresas criadas, uma que será a BPO, e outra que receberá o vinculo da BPO
2 - Usuário logado dentro de uma empresa
3 - A empresa não possuir BPO Vinculada
4 - A empresa não deve possuir Grupo ecnoômico vinculado
5 - Possuir Conta cadastrada como BPO para que reflita no campo ""BPO""
",07Vincular Conta BPO,"Given que usuário acesse os detalhes de uma Conta ""A""
And usuário adicionar uma Conta ""B"" que é BPO 
When salvar as alterações
Then o sistema conclue a alteração
And  dentro da Conta ""B"" que é BPO, retornará a empresa representada ""A""",🛎️ Item com pendência de execução,,03 - Empresa,Hierarquia,21/10/2025,,Ativo,NO RUN,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,21/10/2025
TSF-148,15,TSF-148 | CT~15,Alta,"Usuário com as seguintes condições:
1 - Possuir 2 empresas criadas, uma como grupo ecnoômico e outra que receberá essa empresa como grupo econômico
2 - Usuário logado dentro de uma empresa
3 - A empresa não possuir BPO Vinculada
4 - A empresa não deve possuir Grupo ecnoômico vinculado
5 - Possuir Conta cadastrada como Grupo econômico para que reflita no campo ""BPO""
",07Vincular Conta Grupo Econcômico,"Given que usuário acesse os detalhes de uma Conta ""A""
And usuário adicionar uma Conta ""B"" que é Grupo econômico
When salvar as alterações
Then o sistema conclue a alteração
And  dentro da Conta ""B"" que é Grupo econômico, retornará a empresa integrante ""A""
And Será mostrada como marcas associadas na visão 360° da conta ""B""",❌ Reprovado,,03 - Empresa,Hierarquia,21/10/2025,09/12/2025,Ativo,NOK,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,21/10/2025
TSF-148,16,TSF-148 | CT~16,Alta,"Usuário com as seguintes condições:
1 - Possuir 2 empresas criadas, uma como Parceira  e outra que receberá essa empresa como Parceira
2 - Usuário logado dentro de uma empresa
3 - A empresa não possuir BPO Vinculada
4 - A empresa não deve possuir Grupo ecnoômico vinculado
5 - Possuir Conta cadastrada como Parceira
",07Criar Conta Parceira,"Given que usuário acesse os detalhes de uma Conta
And usuário editar o registro
When usuário alterar o subtipo para Parceira
And salvar a edição
Then o sistema realiza a alteração",❌ Reprovado,,03 - Empresa,Hierarquia,21/10/2025,09/12/2025,Ativo,NOK,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,21/10/2025
TSF-2,17,TSF-2 | CT~17,Média,"Usuário com as seguinte condições:
1 - Possuir acesso ao ambiente SalesForce
2 - Possuir permissões de ADM ou Contratos
3 - Possuir Empresa PAI = emrpesa criada do tipo Grupo econômico Ou BPO
4 - Possuir empresa Filha = empresa Vinculada a um Grupo econômico ou BPO",10Alterar apenas o proprietário de uma empresa Pai,"Given que usuário acesse a empresa Pai
When alterar o proprietário desta conta
Then o sistema realiza a alteração 
And  retorna a mensagem de sucesso
And altera o(s) valore(s) da(s) empresa(s) filha(s) para ficar com a mesma informação de proprietário",🛎️ Item com pendência de execução,,03 - Empresa,Proprietário da empresa,21/10/2025,,Inativo,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-2,18,TSF-2 | CT~18,Média,"Usuário com as seguinte condições:
1 - Possuir acesso ao ambiente SalesForce
2 - Possuir permissões de ADM ou Contratos
3 - Possuir Empresa PAI = emrpesa criada do tipo Grupo econômico Ou BPO
4 - Possuir empresa Filha = empresa Vinculada a um Grupo econômico ou BPO",11Alterar apenas o CSM de uma empresa Pai,"Given que usuário acesse a empresa Pai
When alterar os dados do campo ""CSM""
Then o sistema realiza a alteração 
And  retorna a mensagem de sucesso
And altera o(s) valore(s) da(s) empresa(s) filha(s) para ficar com a mesma informação de CSM",🛎️ Item com pendência de execução,,03 - Empresa,Proprietário da empresa,21/10/2025,,Inativo,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-543,19,TSF-543 | CT~19,Média,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
3 - Com AM como proprietário da empresa
4 - CSM deve ser HighTouch ou MidTouch",12Realizar a alteração de Mudança de proprietário da empresa AM > CSM MidTouch,"Given que usuário acesse uma empresa
And acessar o campo Proprietário da empresa
When selecionar um CSM
Then o sistema realiza a alteração de usuário
And dispara e-mails para todos os contatos ativos vinculados à empresa sempre que houver determinadas mudanças de proprietário, desde que a ação tenha sido executada por um usuário com perfil autorizado. ",🛎️ Item com pendência de execução,,03 - Empresa,Proprietário da empresa,15/07/2025,,Em Preparação-Ambiente,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-543,20,TSF-543 | CT~20,Média,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
3 - Com CSM como proprietário da empresa HighTouch ou MidTouch
4 - Novo CSM deve ser HighTouch ou MidTouch",13Realizar a alteração de Mudança de proprietário da empresa CSM > CSM HighTouch,"Given que usuário acesse uma empresa
And acessar o campo Proprietário da empresa
When selecionar um CSM
Then o sistema realiza a alteração de usuário
And dispara e-mails para todos os contatos ativos vinculados à empresa sempre que houver determinadas mudanças de proprietário, desde que a ação tenha sido executada por um usuário com perfil autorizado. ",🛎️ Item com pendência de execução,,03 - Empresa,Proprietário da empresa,15/07/2025,,Em Preparação-Ambiente,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-329,21,TSF-329 | CT~21,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Não possuir acesso para editação completa como ocorre com o perfil de admin
3 - Possuir empresa com o campo SAP Cod preenchido
",14Empresa - Perfil <> de Adm - Com SAP Cod - Alterar campo CNPJ Faturamento,"Given que usuário acesse uma empresa
And alterar o campo previsto no caso de teste
When clicar em salvar
Then o sistema informa que a ação não é permitida e que se faz necessária ação de uma usuário com permissão",🛎️ Item com pendência de execução,,03 - Empresa,Permissionamento de dados,22/10/2025,,Em Preparação-Ambiente,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-329,22,TSF-329 | CT~22,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Não possuir acesso para editação completa como ocorre com o perfil de admin
3 - Possuir empresa com SAP Cod preenchido
",15Empresa - Perfil <> de Adm - Com SAP Cod - Alterar campo IE,"Given que usuário acesse uma empresa
And alterar o campo previsto no caso de teste
When clicar em salvar
Then o sistema informa que a ação não é permitida e que se faz necessária ação de uma usuário com permissão",🛎️ Item com pendência de execução,,03 - Empresa,Permissionamento de dados,22/10/2025,,Em Preparação-Ambiente,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-329,23,TSF-329 | CT~23,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Não possuir acesso para editação completa como ocorre com o perfil de admin
3 - Possuir empresa com SAP Cod preenchido
",16Empresa - Perfil <> de Adm - Com SAP Cod - Alterar campo IM,"Given que usuário acesse uma empresa
And alterar o campo previsto no caso de teste
When clicar em salvar
Then o sistema informa que a ação não é permitida e que se faz necessária ação de uma usuário com permissão",🛎️ Item com pendência de execução,,03 - Empresa,Permissionamento de dados,22/10/2025,,Em Preparação-Ambiente,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-329,24,TSF-329 | CT~24,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Não possuir acesso para editação completa como ocorre com o perfil de admin
3 - Possuir empresa com SAP Cod preenchido
",17Empresa - Perfil <> de Adm - Com SAP Cod - Alterar campo TAX ID,"Given que usuário acesse uma empresa
And alterar o campo previsto no caso de teste
When clicar em salvar
Then o sistema informa que a ação não é permitida e que se faz necessária ação de uma usuário com permissão",🛎️ Item com pendência de execução,,03 - Empresa,Permissionamento de dados,22/10/2025,,Em Preparação-Ambiente,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-662,25,TSF-662 | CT~25,Baixa,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
","18Criar uma Empresa e validar o preenchimento dos campos ""Start_Time__C"" e End_Time__c","Given que usuário crie uma empresa
When acessar a aba de tracking
Then o sistema retorna as informações de Start Time e End Time para o tempo de criação da empresa",🛎️ Item com pendência de execução,,03 - Empresa,Pré- fluxo de contrato,18/09/2025,,Fix,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-497,26,TSF-497 | CT~26,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
",19Criar um novo contato,"Given que usuário acesse o objeto contatos
And clicar em criar
And preencher os campos necessários
When clicar em confirmar
Then o sistema cria o contato e retorna mensagem de sucesso",🛎️ Item com pendência de execução,,04 - Contatos,Contatos - criação,15/07/2025,,Ativo,NO RUN,,NA,,,,Automatizado,,,,,,15/07/2025
TSF-497,27,TSF-497 | CT~27,Baixa,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
",20[Duplicidade] - Via SF: tentar criar um contato com email já existente na base e validar mensagem de retorno,"Given que usuário acesse o objeto contatos
And clicar em criar
And preencher os campos necessários
And preencha o valor de e-mail com um dado já existente
When clicar em confirmar
Then o sistema Não cria o contato e retorna mensagem de erro informando que o e-mail já está cadastrado",🛎️ Item com pendência de execução,,04 - Contatos,Contatos - criação,15/07/2025,,Em análise,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-497,28,TSF-497 | CT~28,Média,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
3 - No modal de criação de contato com a mensagem de erro de duplicidade sendo mostrada",21[Duplicidade] - Mesclar Registro duplicado,"Given que usuário acesse a opção de mesclar registro
And selecionar o registro a ser confirmado como vigente
When clicar em salvar essa mescla
Then o sistema realiza a mescla e mantem apenas os dados com base nas novas e antigas informações do contato",🛎️ Item com pendência de execução,,04 - Contatos,Contatos - criação,15/07/2025,,Ativo,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-2,29,TSF-2 | CT~29,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
","22Criar oportunidade, Novo negócio","Given que usuário acesse o objeto oportunidade
And Iniciar a criação da oportunidade
When preencher as informações necessárias para a criação de uma oportunidade e clicar em criar
Then o sistema retorna conclui a criação e redireciona o usuário para a página da oportunidade",🛎️ Item com pendência de execução,,05 - Oportunidade,Oportunidade - Criação,23/10/2025,,Ativo,NO RUN,,NA,,,,Automatizado,,,,,,23/10/2025
TSF-82,30,TSF-82 | CT~30,Baixa,"Usuário com as seguinte condições:
1 - Possuir Oportunidade criada
2 - Possuir oportunidade e pedido com a jornada = CSM",23Jornada CSM - Enviar oportunidade para Fechada e perdida,"Given que usuário acesse a oportunidade
And clicar no botão fechado/perdido
And informar o motivo
When salvar os dados
Then o sistema envia a oportunidade para aprovação dos responsáveis e bloqueia a oportunidade para novas edições",🛎️ Item com pendência de execução,,05 - Oportunidade,Oportunidade - Fechado e perdido,15/07/2025,,Em análise,NO RUN,,NA,,,,Automatizado,,,,,,15/07/2025
TSF-607,31,TSF-607 | CT~31,Média,"Usuário com as seguinte condições:
1 - Possuir Oportunidade criada
2 - Possuir oportunidade e pedido com a jornada = CSM","24Reprovar solicitação de aprovação, e validar ""Fechado e Perdido""","Given que usuário acesse a oportunidade com pedido de aprovação para Midia Kit
And acessar a aba relacionado
And localizar o box para aprovação
When clicar em Reprovar 
Then o sistema reprova a oportunidade e altera o status para Fechado e perdido.",🛎️ Item com pendência de execução,,05 - Oportunidade,Oportunidade - Aprovação,11/08/2025,,Em análise,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-82,32,TSF-82 | CT~32,Baixa,"Usuário com as seguinte condições:
1 - Possuir Oportunidade criada
2 - Possuir oportunidade e pedido com a jornada = CSM","25Jornada CSM - Aprovar oportunidade de ""Fechado e perdido""","Given que usuário acesse a oportunidade com pedido de aprovação
And acessar a aba relacionado
And localizar o box para aprovação
When clicar em aprovar 
Then o sistema aprova a oportunidade e conclui o Fechado e perdido, alterando o status para essa nomenclatura",🛎️ Item com pendência de execução,,05 - Oportunidade,Oportunidade - Fechado e perdido,11/08/2025,,Em análise,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-607,33,TSF-607 | CT~33,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
","26Criar Op com o MidiaKit - Plano Entrada e validar solicitação de aprovação para ""Alessandra Rodrigues de Miranda""","Given que usuário crie uma oportunidade do tipo MidiaKit
And tipo de produto primário = MidiaKit - Plano Entrada
When clicar em criar a oportunidade
Then o sistema retorna a tela com a oportunidade bloqueada,
And um banner informativo de que a oportunidade foi enviada para aprovação
And na aba relacionado na parte de aprovação, o sistema retorna a solicitação para os responsáveis aprovarem ou recusarem",🛎️ Item com pendência de execução,,05 - Oportunidade,Oportunidade - Aprovação,11/08/2025,,Ativo,NO RUN,,NA,,,,Automatizado,,,,,,11/08/2025
TSF-109,34,TSF-109 | CT~34,Média,"Usuário com as seguinte condições:
1 - Possuir acesso ao ambiente SalesForce
2 - Não ser um usuário de com perfil:Especialista de Treinamento Comercial
Coordenador(a) de Vendas
Supervisor(a) de Pré Vendas
Gerente de Excelência e Ops Comercial
Analista de Operações Comercial Sênior",27Tentar fechar oportunidade de outro colaborador com um usuário diferente do previsto na pré-condição,"Given que usuário acesse a a oportunidade/pedido/contrato de outro usuário
When usuário tente dar ""Fechado e perdido"" no processo para fechar a oportunidade
Then o sistema NÃO deve realizar o fechamento da oportunidade",🛎️ Item com pendência de execução,,05 - Oportunidade,Oportunidade - Permissionamento,15/07/2025,,Em Preparação-Ambiente,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-109,35,TSF-109 | CT~35,Média,"Usuário com as seguinte condições:
1 - Possuir acesso ao ambiente SalesForce
2 - Possuir permissões apenas do usuário presente no nome do cenário
3 - Logado no sistema Salesforce no aplicativo - ""Vendas Reclame AQUI""
4 - Possuir uma oportunidade criada e o proprietário é diferente do usuário logado no sistema
5 - A oportunidade já esteja configurada para ser concluída",28Coordenador(a) de Vendas - tentar fechar oportunidade de outro colaborador,"Given que usuário acesse a a oportunidade/pedido/contrato de outro usuário
When usuário tente dar ""Fechado e perdido"" no processo para fechar a oportunidade
Then o sistema realiza o fechamento da oportunidade",🛎️ Item com pendência de execução,,05 - Oportunidade,Oportunidade - Permissionamento,15/07/2025,,Em Preparação-Ambiente,NO RUN,,NA,,,,Não automatizado,,,,,,
TSF-2,36,TSF-2 | CT~36,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
3 - Tenha aceitado o SQL da oportunidade",29Clicar no botão para Criar pedido RA,"Given que usuário acesse uma oportunidade em rascunho
And clicar em criar pedido
And preencher informações necessárias para a criação do pedido
When clicar no botão para concluir a criação
Then o sistema retorna a tela com o Pedido RA criado",🛎️ Item com pendência de execução,,05 - Oportunidade,Oportunidade - Criação,15/07/2025,,Ativo,NO RUN,,NA,,,,Automatizado,,,,,,15/07/2025
TSF-975,37,TSF-975 | CT~37,Média,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
",Alta Adicionar formulário criado ao Pedido RA - URL,"Dado que existe um Pedido RA ""Teste"" no sistema
    E que existe um formulário do tipo ""URL"" ativo no sistema
    E que o usuário acessa a página deste ""Pedido RA""
    Quando o usuário clica no botão ""Formulário de Pedido (Novo)""
    E seleciona o formulário do tipo ""URL"" da lista
    E clica em ""Salvar""
    Então o sistema exibe a mensagem ""Formulário adicionado com sucesso""
    E o formulário do tipo ""URL"" aparece na lista de formulários do pedido
    E o formulário está vinculado ao Pedido RA
",🛎️ Item com pendência de execução,,06 - Pedidos RA,Pedido RA - Formulário de Pedido,19/11/2025,,Ativo,NO RUN,,NA,,,,Automatizado,,,,,,19/11/2025
TSF-975,38,TSF-975 | CT~38,Média,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce
2 - Possuir permissões necessárias
",Adicionar formulário criado ao Pedido RA - Master," Dado que existe um Pedido RA ""Teste"" no sistema
    E que existe um formulário do tipo ""Master"" ativo no sistema
    E que o usuário acessa a página deste ""Pedido RA""
    Quando o usuário clica no botão ""Formulário de Pedido (Novo)""
    E seleciona o formulário do tipo ""Master"" da lista
    E clica em ""Salvar""
    Então o sistema exibe a mensagem ""Formulário adicionado com sucesso""
    E o formulário do tipo ""Master"" aparece na lista de formulários do pedido
    E o formulário está vinculado ao Pedido RA",🛎️ Item com pendência de execução,,06 - Pedidos RA,Pedido RA - Formulário de Pedido,19/11/2025,,Ativo,NO RUN,,NA,,,,Automatizado,,,,,,19/11/2025
